chinese_group = {
    graphical_cultures = {
        chinesegfx
        mongolgfx
        indiangfx
        muslimgfx
    }
    han = {
        graphical_cultures = {
            chinesegfx
            mongolgfx
            indiangfx
            muslimgfx
        }
        secondary_event_pictures = bedouin_arabic
        dynasty_name_first = yes
        color = {
            211
            44
            44
        }
        male_names = {
            "寂"  # Ji
            "瑀"  # Yu
            "德彝"  # Deyi
            "无忌"  # Wuji
            "玄龄"  # Xuanling
            "如晦"  # Ruhui
            "靖"  # Jing
            "彦博"  # Yanbo
            "士廉"  # Shilian
            "世勣"  # Shiji
            "行成"  # Xingcheng
            "志宁"  # Zhining
            "遂良"  # Suiliang
            "仁轨"  # Rengui
            "至德"  # Zhide
            "良嗣"  # Liangsi
            "待价"  # Daijia
            "承嗣"  # Chengsi
            "长倩"  # Changliang
            "钦望"  # Qinwang
            "及善"  # Jishan
            "休璟"  # Xiujing
            "元忠"  # Yuanzhong
            "成器"  # Chengqi
            "适"  # Shi
            "子仪"  # Ziyi
            "茂贞"  # Maozhen
            "威"  # Wei
            "恭仁"  # Gongren
            "师道"  # Shidao
            "文本"  # Wenben
            "周"  # Zhou
            "季辅"  # Jifu
            "奭"  # Shi
            "敦礼"  # Dunli
            "义府"  # Yifu
            "正伦"  # Zhenglun
            "敬宗"  # Jingzong
            "祥道"  # Xiangdao
            "敦信"  # Dunxin
            "立本"  # Liben
            "处俊"  # Chujun
            "敬玄"  # Jingxuan
            "元超"  # Yuanchao
            "知温"  # Zhiwen
            "炎"  # Yan
            "味道"  # Weidao
            "居道"  # Judao
            "文伟"  # Wenwei
            "昭德"  # Zhaode
            "三思"  # Sansi
            "仁杰"  # Renjie
            "峤"  # Qiao
            "再思"  # Zaisi
            "玄暐"  # Xuanwei
            "恕己"  # Shuji
            "安石"  # Anshi
            "楚客"  # Chuke
            "至忠"  # Zhizhong
            "绍京"  # Shaojing
            "嗣立"  # Sili
            "崇"  # Chong
            "说"  # Shuo
            "嘉贞"  # Jiazhen
            "嵩"  # Song
            "九龄"  # Jiuling
            "林甫"  # Linfu
            "国忠"  # Guozhong
            "圆"  # Yuan
            "辅国"  # Fuguo
            "怀光"  # Huaiguang
            "晟"  # Sheng
            "瑊"  # Jian
            "弘"  # Hong
            "敏中"  # Minzhong
            "昭度"  # Zhaodu
            "文静"  # Wenjing
            "抗"  # Kang
            "叔达"  # Shuda
            "元吉"  # Yuanji
            "珪"  # Gui
            "徵"  # Zheng
            "文杰"  # Wenjie
            "瑗"  # Yuan
            "茂将"  # Maojiang
            "圉师"  # Yushi
            "德玄"  # Dexuan
            "恪"  # Luo
            "文瓘"  # Wenguan
            "楚骏"  # Chujun
            "景先"  # Jingxian
            "德真"  # Dezhen
            "思谦"  # Siqian
            "玄同"  # Xuantong
            "光辅"  # Guangfu
            "攸宁"  # Youning
            "务滋"  # Wuzi
            "秦客"  # Qinke
            "通"  # Tong
            "璹"  # Shou
            "晖"  # Hui
            "彦范"  # Yanfan
            "瓌"  # Huai
            "巨源"  # Juyuan
            "处讷"  # Chuna
            "志忠"  # Zhizhong
