#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_sanvicente;圣维森特;;;;;;;;;;x
WOE;悲哀！;;;;;;;;;;x
UNIT_MORALE_EFFECT;军队可获得$PERC$士气。\n;;;;;;;;;;x
UNIT_REINFORCE_EFFECT;指挥的部队由于$PERC$被加强。\n;;;;;;;;;;x
UNIT_INVERTREINFORCE_EFFECT;统帅军队的$PERC$被杀死。\n;;;;;;;;;;x
TRIGGER_LEADER;领导者;;;;;;;;;;x
opinion_father_child;父亲;;;;;;;;;;x
opinion_mother_of_child;我的孩子;;;;;;;;;;x
COUNCIL;内阁;;;;;;;;;;x
BM_CHARLEMAGNE_ERA;中世纪早期;;;;;;;;;;x
BM_CHARLEMAGNE_ERA_INFO;中世纪早期始于5世纪西罗马的毁灭。这一时期早期伴随着日耳曼和斯拉夫民族跨越欧洲的迁徙。这些民族里包括在南部欧洲定居的哥特人和伦巴第人，在高卢定居的法兰克人，渡海占领不列颠的萨克森人。与此同时，东罗马受到哥特人与阿瓦人的威胁，又与古老的波斯敌人苦战。伊斯兰教的崛起让阿拉伯人横扫中东与北非、征服大量的土地。而在东方的印度，数个大王朝为了曲女城的支配权展开了激烈的竞争，其中包括8世纪末崛起的罗湿陀罗拘陀。而在草原上，可萨人崭露头角；在斯堪的纳维亚，一股搅动世界的力量还未成熟……;;;;;;;;;;x
BM_THE_OLD_GODS_ERA;维京时代;;;;;;;;;;x
BM_THE_OLD_GODS_ERA_INFO;9世纪中叶，一群来自北境，被称作维京人的掠夺者和冒险者在欧洲版图上留下了不可磨灭的痕迹。他们在俄罗斯、不列颠群岛建立国家，步伐远及黑海和地中海。查理曼的后人、加洛林王朝的统治者们在法兰西、日耳曼和意大利统治着强大的国度，与此同时，在伍麦叶王朝统治下，穆斯林的信仰深深地扎根在西班牙的土地上。拜占庭的皇帝在哈里发与保加利亚人的双重压力下仍坚守着。马扎尔人为了争夺喀尔巴阡盆地而蓄势待发。伊斯兰教在萨法尔王朝等君主的统治下快速传遍了波斯，并逐渐渗透进印度河谷。再往东，印度教的瞿折罗·波罗提诃罗王朝在不断扩张。;;;;;;;;;;x
BM_FATE_OF_ENGLAND_ERA;中世纪盛期;;;;;;;;;;x
BM_FATE_OF_ENGLAND_ERA_INFO;10世纪末至11世纪初，穆斯林世界经历着巨大变动——塞尔柱、伽色尼等突厥王朝控制着波斯。拜占庭帝国仍然坚守着国土，但可以预料到更差的情况正在到来。中欧和西欧被法兰西和强盛的神圣罗马帝国所瓜分，与此同时，基督教诸王正着手向分崩离析而虚弱的西班牙穆斯林发起进攻。斯堪的纳维亚迅速地皈依了基督教，而在俄罗斯和不列颠定居的诺斯人也逐渐与当地居民同化。然而，在诺曼底和西西里的维京人后裔仍在准备着新的征服，第一次十字军远征也即将到来……;;;;;;;;;;x
BM_THE_MONGOLS_ERA;蒙古时代;;;;;;;;;;x
BM_THE_MONGOLS_ERA_INFO;当欧洲进入13世纪，君士但丁堡已被突厥人削弱，又经历了第四次十字军的血洗，拜占庭已是强弩之末。突厥人仍然统治着中东和波斯；而在印度，随着旧王朝的衰落，许多新的王国崛起并激烈地争夺权力。诺曼征服为英格兰和法兰西带来了新的政治与王室冲突；西班牙的基督教国家继续成长；斯堪的纳维亚彻底摒弃了原始宗教、中央集权不断加强。在俄罗斯，几个大公国在东边的保加尔人与库曼人的威胁下争权夺利。在日耳曼和意大利，神圣罗马帝国仍然稳若泰山。但在这一切之外，一股新的力量在东方正准备登场——当蒙古人策马扬鞭进入东欧和波斯，他们讲颠覆整个欧亚大陆西部的力量平衡……;;;;;;;;;;x
BM_100_YEARS_WAR_ERA;中世纪晚期;;;;;;;;;;x
BM_100_YEARS_WAR_ERA_INFO;中世纪晚期的欧洲与几百年前相比大不相同。西班牙由基督教诸王国所统治，穆斯林只能在最南端的一小片土地负隅顽抗。神圣罗马帝国仍然控制着中欧，但紧邻着一个强大的匈牙利；与此同时，从诺曼征服起就已埋下祸根的英法王朝纷争将带来更加血腥和旷日长久的战争。金帐汗国和伊尔汗国统治着大草原和波斯，使得从印度到中欧的所有君主都不得不重视蒙古人。图格鲁克王朝在印度拥有广袤的领土，与此同时北非则被众多阿拉伯王朝所分割。突厥人对中东的主导似乎止于蒙古人的入侵，但在安纳托利亚，一个叫奥斯曼的王朝才刚开始崭露头角……;;;;;;;;;;x
ze_administration_laws_0;封建管理;;;;;;;;;;x
ze_administration_laws_0_option;封建的;;;;;;;;;;x
ze_administration_laws_0_desc;封建社会是一种拥有大量土地的领主的等级制社会，在这种社会中，每个人都需要对直接上级领主效忠并可以命令他们的直接下级。大多数中世纪国家都采取这样的方式运作，这意义着统治者非常依赖[Player.GetHerHis]强大封臣们的忠诚。;;;;;;;;;;x
ze_administration_laws_2;帝国管理;;;;;;;;;;x
ze_administration_laws_2_option;帝国;;;;;;;;;;x
ze_administration_laws_2_desc;这种政治体制类似于罗马帝国时期的体制，由不同等级的官吏体系以皇帝的名义对国家日常事物进行处理，这种体制通过削弱地方封臣的权力来使得政权稳固。;;;;;;;;;;x
SUPPLY_LIMIT_TOOLTIP;补给限制：$VALUE|Y$;;;;;;;;;;x
MAKE_GREY;$TEXT|g$;;;;;;;;;;x
Zeus;御前会议;;;;;;;;;;x
EVTOPTC_SOA_4032;与[FromFrom.GetObjectPronoun]进行神学辩论;;;;;;;;;;x
EVTDESC_WOL_55_FF_MARRIED;就在几天前——我如常地潜伏了起来——我把[FromFrom.GetTitledName]和我的[GetFromRelation] [From.GetFirstName]抓个现行！虽然他们并没有注意到我，但我依然感到非常震惊！[Root.Religion.GetRandomGodName]在上，[FromFrom.GetSubjectPronounCap]可是一位已婚的[FromFrom.GetManWoman]啊！;;;;;;;;;;x
maintaining_mercenary_band_2;维持佣兵团2;;;;;;;;;;x
maintaining_mercenary_band_3;维持佣兵团3;;;;;;;;;;x
maintaining_mercenary_band_4;维持佣兵团4;;;;;;;;;;x
maintaining_mercenary_band_5;维持佣兵团5;;;;;;;;;;x
maintaining_mercenary_band_6;维持佣兵团6;;;;;;;;;;x
maintaining_mercenary_band_7;维持佣兵团7;;;;;;;;;;x
desc_maintaining_mercenary_band_2;这块领地用于补充佣兵团2;;;;;;;;;;x
desc_maintaining_mercenary_band_3;这块领地用于补充佣兵团3;;;;;;;;;;x
desc_maintaining_mercenary_band_4;这块领地用于补充佣兵团4;;;;;;;;;;x
desc_maintaining_mercenary_band_5;这块领地用于补充佣兵团5;;;;;;;;;;x
desc_maintaining_mercenary_band_6;这块领地用于补充佣兵团6;;;;;;;;;;x
desc_maintaining_mercenary_band_7;这块领地用于补充佣兵团7;;;;;;;;;;x
