#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RCLK_TO_SELECT;§G点击鼠标右键进行选择§!;;;;;;;;;;x
vassal_sacrifice_decision;牺牲;;;;;;;;;;x
vassal_sacrifice_decision_named;献祭[Root.GetFirstName];;;;;;;;;;x
break_up_with_lover_named;与[Root.GetFirstName]分手;;;;;;;;;;x
seduce_decision_named;勾引[Root.GetFirstName];;;;;;;;;;x
decision_spy_on_named;监视[Root.GetFirstName];;;;;;;;;;x
decision_break_free_named;从监狱里解救[Root.GetFirstName];;;;;;;;;;x
invite_to_party_named;邀请[Root.GetFirstName]赴宴;;;;;;;;;;x
duel_decision_named;与[Root.GetFirstName]决斗;;;;;;;;;;x
legitimize_bastard;私生子合法化;;;;;;;;;;x
legitimize_bastard_named;使[Root.GetTitledFirstName]成为合法子女;;;;;;;;;;x
convince_to_straighten_up_named;劝说[Root.GetTitledFirstName]振作起来;;;;;;;;;;x
send_child_into_hiding;隐藏起来;;;;;;;;;;x
send_child_into_hiding_named;将[Root.GetFirstName]隐藏起来;;;;;;;;;;x
take_child_out_of_hiding;重见天日;;;;;;;;;;x
take_child_out_of_hiding_named;使[Root.GetFirstName]重见天日;;;;;;;;;;x
send_spouse_into_hiding;隐藏起来;;;;;;;;;;x
send_spouse_into_hiding_named;将[Root.GetFirstName]隐藏起来;;;;;;;;;;x
take_spouse_out_of_hiding;重见天日;;;;;;;;;;x
take_spouse_out_of_hiding_named;使[Root.GetFirstName]重见天日;;;;;;;;;;x
EVENT_SPAWNED;事件结果;;;;;;;;;;x
known_sodomite_pagan;柔弱的男情人;;;;;;;;;;x
comfort_of_lover;情人的安慰;;;;;;;;;;x
desc_comfort_of_lover;[GetFirstName]在情人的怀中得到安慰，使其暂时摆脱了[GetPossPronoun]充满争吵的婚姻的困扰。;;;;;;;;;;x
thrill_of_lover;禁断之爱的激情;;;;;;;;;;x
opinion_dishonorable_duel;毫无荣誉可言的决斗;;;;;;;;;;x
dishonorable_duel_tooltip;这被认为是不荣誉的行为，会引起他人的反感。;;;;;;;;;;x
desc_thrill_of_lover;[GetFirstName]通过与情人[GetPossPronoun]做一些激情之事来从争吵不断的婚姻中获得暂时的解脱。;;;;;;;;;;x
CIW_GOTOLOCATION_DEL;拉近显示角色在地图上的位置。;;;;;;;;;;x
CIW_GOTOCHARREL_DEL;查看其他角色对本角色的好感。;;;;;;;;;;x
CAN_CALL_VASSALS_TO_WAR;我们所有的封臣;;;;;;;;;;x
IS_NOT_A_FOE_OF;不是敌人 ;;;;;;;;;;x
IS_A_FOE_OF;是敌人 ;;;;;;;;;;x
nick_the_scholar;学者;;;;;;;;;;x
nick_the_strange;怪异者;;;;;;;;;;x
nick_the_black;黑人;;;;;;;;;;x
WayOfLifeDLC;生活之道;;;;;;;;;;x
IberianUnitPackDLC;伊比利亚单位包;;;;;;;;;;x
IberianPortraitsDLC;伊比利亚肖像包;;;;;;;;;;x
tut_0a_7b;提示：你可以右键点击角色头像来打开该角色的外交菜单。;;;;;;;;;;x
tut_4a_4;作为开始，右键点击你的同父异母兄弟，阿瑟尔伯爵马穆尔。你会发现他出现在家族界面的底端左侧，位于诸同辈亲属之首。(你在这里看到的头像只是一个例子，并不是代表实际上的伯爵。);;;;;;;;;;x
tut_4a_5;在左侧，我们可以看到可执行外交行动的菜单。在右侧你将可以修正外交选择，并且可以看到你的外交选择会造成怎样的结果。点击下一步以继续。;;;;;;;;;;x
tut_6a_12;现在是真正宣战的时刻了。那么在此再次点击南岛。右键点击头像以打开外交菜单。;;;;;;;;;;x
tut_4c_9;深思熟虑以采取最好的抉择，不要忘记婚姻对象所属的家族及其头衔对你威望值得失的影响。当你做好决定后，右键点击她的头像以继续。;;;;;;;;;;x
ca_culture_moors_2;摩尔骑兵营;;;;;;;;;;x
ca_culture_moors_3;摩尔骑兵营;;;;;;;;;;x
ca_culture_moors_4;摩尔骑兵营;;;;;;;;;;x
TRIBAL_TAX_MODIFIER;部落税;;;;;;;;;;x
