#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
String_FR_GetIlElle_male;_;il;;;;;;;;;;;;x
String_FR_GetIlElle_female;_;elle;;;;;;;;;;;;x
String_FR_GetIlElleCap_male;_;Il;;;;;;;;;;;;x
String_FR_GetIlElleCap_female;_;Elle;;;;;;;;;;;;x
String_FR_GetIlElleOpp_male;_;elle;;;;;;;;;;;;x
String_FR_GetIlElleOpp_female;_;il;;;;;;;;;;;;x
String_FR_GetIlElleCapOpp_male;_;Elle;;;;;;;;;;;;x
String_FR_GetIlElleCapOpp_female;_;Il;;;;;;;;;;;;x
String_FR_GetLeLa_male;_;le;;;;;;;;;;;;x
String_FR_GetLeLa_female;_;la;;;;;;;;;;;;x
String_FR_GetLeLaCap_male;_;Le;;;;;;;;;;;;x
String_FR_GetLeLaCap_female;_;La;;;;;;;;;;;;x
String_FR_GetLeLaOpp_male;_;la;;;;;;;;;;;;x
String_FR_GetLeLaOpp_female;_;le;;;;;;;;;;;;x
String_FR_GetLeLaCapOpp_male;_;La;;;;;;;;;;;;x
String_FR_GetLeLaCapOpp_female;_;Le;;;;;;;;;;;;x
String_FR_GetLuiElle_male;_;lui;;;;;;;;;;;;x
String_FR_GetLuiElle_female;_;elle;;;;;;;;;;;;x
String_FR_GetLuiElleCap_male;_;Lui;;;;;;;;;;;;x
String_FR_GetLuiElleCap_female;_;Elle;;;;;;;;;;;;x
String_FR_GetLuiElleOpp_male;_;elle;;;;;;;;;;;;x
String_FR_GetLuiElleOpp_female;_;lui;;;;;;;;;;;;x
String_FR_GetCeluiCelle_male;_;celui;;;;;;;;;;;;x
String_FR_GetCeluiCelle_female;_;celle;;;;;;;;;;;;x
String_FR_GetCeluiCelleCap_male;_;Celui;;;;;;;;;;;;x
String_FR_GetCeluiCelleCap_female;_;Celle;;;;;;;;;;;;x
String_FR_GetOnA_male;_;on;;;;;;;;;;;;x
String_FR_GetOnA_female;_;a;;;;;;;;;;;;x
String_FR_GetOnAOpp_male;_;a;;;;;;;;;;;;x
String_FR_GetOnAOpp_female;_;on;;;;;;;;;;;;x
String_FR_GetErEre_male;_;er;;;;;;;;;;;;x
String_FR_GetErEre_female;_;ère;;;;;;;;;;;;x
String_FR_GetEEtte_male;_;e;;;;;;;;;;;;x
String_FR_GetEEtte_female;_;ette;;;;;;;;;;;;x
String_FR_GetEtEtte_male;_;et;;;;;;;;;;;;x
String_FR_GetEtEtte_female;_;ette;;;;;;;;;;;;x
String_FR_GetXSe_male;_;x;;;;;;;;;;;;x
String_FR_GetXSe_female;_;se;;;;;;;;;;;;x
String_FR_GetLLle_male;_;l;;;;;;;;;;;;x
String_FR_GetLLle_female;_;lle;;;;;;;;;;;;x
String_FR_GetEurRice_male;_;eur;;;;;;;;;;;;x
String_FR_GetEurRice_female;_;rice;;;;;;;;;;;;x
String_FR_GetXCe_male;_;x;;;;;;;;;;;;x
String_FR_GetXCe_female;_;ce;;;;;;;;;;;;x
String_FR_GetNNne_male;_;n;;;;;;;;;;;;x
String_FR_GetNNne_female;_;nne;;;;;;;;;;;;x
String_FR_GetRSe_male;_;r;;;;;;;;;;;;x
String_FR_GetRSe_female;_;se;;;;;;;;;;;;x
String_FR_GetFVe_male;_;f;;;;;;;;;;;;x
String_FR_GetFVe_female;_;ve;;;;;;;;;;;;x
String_FR_GetEtEte_male;_;et;;;;;;;;;;;;x
String_FR_GetEtEte_female;_;ète;;;;;;;;;;;;x
String_FR_GetEurEresse_male;_;eur;;;;;;;;;;;;x
String_FR_GetEurEresse_female;_;eresse;;;;;;;;;;;;x
String_FR_GetOuOlle_male;_;ou;;;;;;;;;;;;x
String_FR_GetOuOlle_female;_;olle;;;;;;;;;;;;x
String_FR_GetEauElle_male;_;eau;;;;;;;;;;;;x
String_FR_GetEauElle_female;_;elle;;;;;;;;;;;;x
String_FR_GetSSse_male;_;s;;;;;;;;;;;;x
String_FR_GetSSse_female;_;sse;;;;;;;;;;;;x
String_FR_GetEEsse_male;_;e;;;;;;;;;;;;x
String_FR_GetEEsse_female;_;esse;;;;;;;;;;;;x
String_FR_GetEteEtesse_male;_;ète;;;;;;;;;;;;x
String_FR_GetEteEtesse_female;_;étesse;;;;;;;;;;;;x
String_FR_GetXSse_male;_;x;;;;;;;;;;;;x
String_FR_GetXSse_female;_;sse;;;;;;;;;;;;x
String_FR_GetTTte_male;_;t;;;;;;;;;;;;x
String_FR_GetTTte_female;_;tte;;;;;;;;;;;;x
String_FR_GetLLa_male;_;l';;;;;;;;;;;;x
String_FR_GetLLa_female;_;la ;;;;;;;;;;;;x
String_FR_GetLLaOpp_male;_;la ;;;;;;;;;;;;x
String_FR_GetLLaOpp_female;_;l';;;;;;;;;;;;x
String_FR_GetLLaCap_male;_;L';;;;;;;;;;;;x
String_FR_GetLLaCap_female;_;La ;;;;;;;;;;;;x
String_FR_GetDDe_male;_;d';;;;;;;;;;;;x
String_FR_GetDDe_female;_;de ;;;;;;;;;;;;x
String_FR_GetSilSielle_male;_;s'il;;;;;;;;;;;;x
String_FR_GetSilSielle_female;_;si elle;;;;;;;;;;;;x
String_FR_GetSilSielleCap_male;_;S'il;;;;;;;;;;;;x
String_FR_GetSilSielleCap_female;_;Si elle;;;;;;;;;;;;x
String_FR_GetEluiElle_male;_;e lui;;;;;;;;;;;;x
String_FR_GetEluiElle_female;_;'elle;;;;;;;;;;;;x
String_FR_GetAuAla_male;_;au;;;;;;;;;;;;x
String_FR_GetAuAla_female;_;à la;;;;;;;;;;;;x
String_FR_GetAuAlaCap_male;_;Au;;;;;;;;;;;;x
String_FR_GetAuAlaCap_female;_;À la;;;;;;;;;;;;x
String_FR_GetDuDela_male;_;du;;;;;;;;;;;;x
String_FR_GetDuDela_female;_;de la;;;;;;;;;;;;x
## MOT DEVANT UNE COMMANDE (PAS D'ESPACE ENTRE LES DEUX COMMANDES)
String_FR_APOSTROPHE;_;';;;;;;;;;;;;x
String_FR_e_;_;e ;;;;;;;;;;;;x
String_FR_de_;_;de ;;;;;;;;;;;;x
String_FR_d;_;d';;;;;;;;;;;;x
String_FR_de_l;_;de l';;;;;;;;;;;;x
String_FR_de_la_;_;de la ;;;;;;;;;;;;x
String_FR_des_;_;des ;;;;;;;;;;;;x
String_FR_du_;_;du ;;;;;;;;;;;;x
String_FR_chez_les_;_;chez les ;;;;;;;;;;;;x
String_FR_dans_l;_;dans l';;;;;;;;;;;;x
String_FR_dans_la_;_;dans la ;;;;;;;;;;;;x
String_FR_dans_le_;_;dans le ;;;;;;;;;;;;x
String_FR_dans_les_;_;dans les ;;;;;;;;;;;;x
String_FR_au_;_;au ;;;;;;;;;;;;x
String_FR_a_l;_;à l';;;;;;;;;;;;x
String_FR_a_la_;_;à la ;;;;;;;;;;;;x
String_FR_aux_;_;aux ;;;;;;;;;;;;x
String_FR_Au_;_;Au ;;;;;;;;;;;;x
String_FR_A_l;_;À l';;;;;;;;;;;;x
String_FR_A_la_;_;À la ;;;;;;;;;;;;x
