#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
common_interests_opinion;Common Interests;;;;;;;;;x
EVTDESC_37252;You are bent low over your [Root.GetEducationTool], struggling to stay focused and to keep your eyes open, when your [From.GetHusbandWife] [From.GetTitledFirstName] enters. [From.GetSheHeCap] crosses the room and inspects the  [Root.GetEducationTool] over your shoulder. "Perhaps a fresh pair of eyes might prove helpful, dear [Root.GetHusbandWife]?";;;;;;;;;x
EVTOPTA_37252;Perhaps you are right, [From.GetFirstName].;;;;;;;;;x
EVTOPTA_37252_TOOLTIP;Accept §Y[From.GetTitledFirstName]§!'s offer to help.\n;;;;;;;;;x
EVTOPTB_37252;You don't think I can handle this on my own?;;;;;;;;;x
EVTOPTB_37252_TOOLTIP;Refuse §Y[From.GetTitledFirstName]§!'s offer to help.\n;;;;;;;;;x
EVTDESC_37253;Your [From.GetHusbandWife] has received an education in [From.GetEducationSubject], like yourself, so [From.GetSheHe] quickly grasps the nuances of the problem as you explain it. The two of you set to work, discussing and comparing [Root.GetEducationalTopicPlural]. [From.GetFirstName] is a most competent [From.GetEducationRole]! Within the hour, you have laid the groundwork for a promising solution.;;;;;;;;;x
EVTOPTA_37253;A brilliant idea, [From.GetFirstName]! Have you any additional suggestions?;;;;;;;;;x
EVTOPTA_37253_TOOLTIP;Finish your work with the help of §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTOPTB_37253;Let us retire to the bedchamber, my dear...;;;;;;;;;x
EVTOPTB_37253_TOOLTIP;Leave your work for now and spend some quality time with §Y[From.GetTitledFirstName]§!...\n;;;;;;;;;x
GetEducationTool_Martial;war table;;;;;;;;;x
GetEducationTool_Diplomacy;correspondence;;;;;;;;;x
GetEducationTool_Stewardship;ledger;;;;;;;;;x
GetEducationTool_Intrigue;maps;;;;;;;;;x
GetEducationTool_Learning;scrolls;;;;;;;;;x
GetEducationalTopicPlural_Strategies;strategies;;;;;;;;;x
GetEducationalTopicPlural_TroopCompositions;troop compositions;;;;;;;;;x
GetEducationalTopicPlural_Diplomats;diplomats;;;;;;;;;x
GetEducationalTopicPlural_Alliances;alliances;;;;;;;;;x
GetEducationalTopicPlural_Phrasings;phrasings;;;;;;;;;x
GetEducationalTopicPlural_TradeRoutes;trade routes;;;;;;;;;x
GetEducationalTopicPlural_InvestmentOpportunities;investment opportunities;;;;;;;;;x
GetEducationalTopicPlural_BuildingPlans;building plans;;;;;;;;;x
GetEducationalTopicPlural_TaxLevels;tax levels;;;;;;;;;x
GetEducationalTopicPlural_Poisons;poisons;;;;;;;;;x
GetEducationalTopicPlural_Spies;spies;;;;;;;;;x
GetEducationalTopicPlural_TravelRoutes;travel routes;;;;;;;;;x
GetEducationalTopicPlural_PotentialAccomplices;potential accomplices;;;;;;;;;x
GetEducationalTopicPlural_Priests;[This.Religion.GetPriestName]s;;;;;;;;;x
GetEducationalTopicPlural_Translations;translations;;;;;;;;;x
GetEducationalTopicPlural_Doctrines;doctrines;;;;;;;;;x
GetEducationalTopicPlural_Passages;passages from [This.Religion.GetScriptureName];;;;;;;;;x
GetEducationSubject_Warfare;warfare;;;;;;;;;x
GetEducationSubject_Diplomacy;diplomacy;;;;;;;;;x
GetEducationSubject_Stewardship;stewardship;;;;;;;;;x
GetEducationSubject_Intrigue;intrigue;;;;;;;;;x
GetEducationSubject_Theology;theology;;;;;;;;;x
opinion_unfaithful_husband_crime;Unfaithful Lecher;Infidélité;Untreuer Lüstling;;Libertino Infiel;;;;;;;;;x
GetEducationRole_Strategist;strategist;;;;;;;;;x
GetEducationRole_Diplomat;diplomat;;;;;;;;;x
GetEducationRole_Steward;steward;;;;;;;;;x
GetEducationRole_Schemer;schemer;;;;;;;;;x
GetEducationRole_Theologian;theologian;;;;;;;;;x

